Formation,Position,Ideal Number
4-2-2-2,GK,3
4-2-2-2,CB,4
4-2-2-2,RB,2
4-2-2-2,LB,2
4-2-2-2,DM,4
4-2-2-2,LM,2
4-2-2-2,RM,2
4-2-2-2,CM,0
4-2-2-2,RW,0
4-2-2-2,LW,0
4-2-2-2,ST,4
3-4-3,GK,3
3-4-3,CB,4
3-4-3,RB,2
3-4-3,LB,2
3-4-3,DM,0
3-4-3,LM,0
3-4-3,RM,0
3-4-3,CM,4
3-4-3,RW,2
3-4-3,LW,2
3-4-3,ST,3
4-1-2-1-2 D,GK,3
4-1-2-1-2 D,CB,4
4-1-2-1-2 D,RB,2
4-1-2-1-2 D,LB,2
4-1-2-1-2 D,DM,2
4-1-2-1-2 D,LM,1
4-1-2-1-2 D,RM,1
4-1-2-1-2 D,CM,0
4-1-2-1-2 D,RW,2
4-1-2-1-2 D,LW,2
4-1-2-1-2 D,ST,4
4-4-1-1,GK,3
4-4-1-1,CB,4
4-4-1-1,RB,2
4-4-1-1,LB,2
4-4-1-1,DM,0
4-4-1-1,LM,2
4-4-1-1,RM,2
4-4-1-1,CM,4
4-4-1-1,RW,0
4-4-1-1,LW,0
4-4-1-1,ST,5
3-5-2,GK,3
3-5-2,CB,5
3-5-2,RB,2
3-5-2,LB,2
3-5-2,DM,0
3-5-2,LM,0
3-5-2,RM,0
3-5-2,CM,5
3-5-2,RW,1
3-5-2,LW,1
3-5-2,ST,5
4-3-3,GK,3
4-3-3,CB,4
4-3-3,RB,2
4-3-3,LB,2
4-3-3,DM,2
4-3-3,LM,0
4-3-3,RM,0
4-3-3,CM,4
4-3-3,RW,2
4-3-3,LW,2
4-3-3,ST,3
4-4-2,GK,3
4-4-2,CB,4
4-4-2,RB,2
4-4-2,LB,2
4-4-2,DM,0
4-4-2,LM,2
4-4-2,RM,2
4-4-2,CM,4
4-4-2,RW,2
4-4-2,LW,2
4-4-2,ST,3
4-2-3-1,GK,3
4-2-3-1,CB,4
4-2-3-1,RB,2
4-2-3-1,LB,2
4-2-3-1,DM,4
4-2-3-1,LM,0
4-2-3-1,RM,0
4-2-3-1,CM,2
4-2-3-1,RW,2
4-2-3-1,LW,2
4-2-3-1,ST,3